Brand,Item,Type,ABV,Size,Location 1,Qty Full,Qty Partial,Location 2,Rating,Category
Eagle Rare,10 year,Bourbon,0.45,750ml,33w,4,0,,0,Whiskey
Buffalo Trace,Straight Bourbon,Bourbon,0.45,1000 ml,33w,1,0,,0,Whiskey
Buffalo Trace,Straight Bourbon,Bourbon,0.45,1750 ml,33w,1,0,,0,Whiskey
Buffalo Trace,Straight Bourbon,Bourbon,0.45,750 ml,33w,1,0,,0,Whiskey
Buffalo Trace,Straight Bourbon,Bourbon,0.45,50 ml,33w,8,0,,0,Whiskey
Woodford Reserve,Masters Collection,Bourbon,0.606,750 ml,33w,0,0,,0,Whiskey
Makers Mark,no 46 french oaked,Bourbon,0.554,750 ml,33w,1,0,,0,Whiskey
Weller,12 Year,Bourbon,0.45,750 ml,33w,0,0,,0,Whiskey
Weller,Antique 107,Bourbon,0.535,750 ml,33w,1,0,,0,Whiskey
Weller,Special Reserve,Bourbon,0.45,750 ml,33w,1,0,,0,Whiskey
Russels Reserve,10 Year,Bourbon,0.45,750 ml,33w,0,0,,0,Whiskey
Blantons,Single Barrel,Bourbon,0.465,750 ml,33w,6,1,161 Archer,0,Whiskey
Bartons/Kirkland,Bottled-In-Bond,Bourbon,0.5,1000ml,33w,1,0,,0,Whiskey
E.H. Taylor,Small Batch,Bourbon,0.5,750ml,33w,4,1,161 Archer,0,Whiskey
Bookers,Small Batch,Bourbon,0.633,750ml,33w,0,0,,0,Whiskey
Old Forester,1920 Prohibition Style,Bourbon,0.474,750ml,33w,0,0,,0,Whiskey
Willets,Pot Still Reserve,Bourbon,0.47,1750ml,33w,1,0,,0,Whiskey
Buffalo Trace,Kosher Wheat,Bourbon,0.47,750ml,33w,1,0,,0,Whiskey
Knob Creek,Small Batch,Bourbon,0.5,1750ml,,0,0,161 Archer,0,Whiskey
Hatozaki,Small Batch,Japanese Whiskey,0.46,750 ml,33w,1,0,,0,Whiskey
Toki,Suntory Whiskey,Japanese Whiskey,0.43,750ml,33w,1,0,,0,Whiskey
Yamazaki,Single Malt 12 Yr,Japanese Whiskey,0.43,750ml,33w,1,0,,0,Whiskey
Yamazaki,Single Malt,Japanese Whiskey,0.43,750ml,33w,1,0,,0,Whiskey
Hibiki,100 yr Japanese Harmony,Japanese Whiskey,0.4,750ml,33w,1,0,,0,Whiskey
Yamato,Mizunara Takeda Shingen,Japanese Whiskey,0.4,750ml,33w,0,0,,0,Whiskey
Hibiki,Japanese Harmony,Japanese Whiskey,0.43,750ml,33w,1,0,,0,Whiskey
Glenlivet,12 year,Scotch Whiskey,0.4,750ml,33w,1,0,,0,Whiskey
Glenlivet,15 year,Scotch Whiskey,0.4,750ml,33w,0,0,,0,Whiskey
Glenlivet,18 year,Scotch Whiskey,0.43,750ml,33w,0,0,,0,Whiskey
Macallen,12 yr double cask,Scotch Whiskey,40.0,750ml,,0,0,161 Archer,0,Whiskey
Traveller Whiskey,Blend no 40,Whiskey,0.45,750 ml,33w,0,0,,0,Whiskey
Sazerac,Rye,Whiskey,0.45,750ml,33w,2,0,,0,Whiskey
High West,Cask collection Barbados Rum,Whiskey,0.5,750ml,33w,0,0,,0,Whiskey
Jack Daniels,old no 7,Whiskey,0.4,750ml,33w,1,0,,0,Whiskey
Jack Daniels,Gentlemans Jack,Whiskey,0.4,750ml,33w,1,0,,0,Whiskey
Jack Daniels,Single Barrel,Whiskey,0.47,750ml,33w,1,0,,0,Whiskey
Fireball,Cinnamon Whisky,Whisky,0.33,50 ml,33w,1,0,,0,Whiskey
Jack Daniels,Fire Whisky,Whisky,0.35,1750 ml,,0,0,161 Archer,0,Whiskey
Chimay,Grande Reserve,Ale,0.09,750ml,33w,1,0,,0,Beer
Goose Island,Bourbon Proprietors County,Stout,0.147,500ml,33w,1,0,,0,Beer
